colName,betaDiff?,zeroCDF_hat,2-side p-value_hat,2-side LB_hat (<= 0.025),2-side UB_hat (>= 0.975),2-side failToReject,1-side p-value_hat,1-side LB_hat (<= 0.05),1-side failToReject
Line_Chart&reVLAT_VizChoices&retrieve_value,True,2.6194254806790235e-07,5.238850961358047e-07,0.1915085420610489,0.4214407199812043,False,2.6194254806790235e-07,0.21082738086951533,False
Line_Chart&reVLAT_NoVizChoices&retrieve_value,True,0.007174426746837514,0.014348853493675028,0.030192343022466803,0.2672710312789526,False,0.007174426746837514,0.049629841545169584,False
Line_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.277405001720832,-0.12531286473058828,False,1.0,-0.2644759247232326,True
Line_Chart&find_extremum&reVLAT_NoVizChoices,False,1.0,0.0,-0.2661110784320282,-0.1036222271203014,False,1.0,-0.2513439817435544,True
Line_Chart&determine_range&reVLAT_VizChoices,True,0.4258148389629615,0.851629677925923,-0.09569175313710039,0.11477123756187485,True,0.4258148389629615,-0.0785623266303005,True
Line_Chart&determine_range&reVLAT_NoVizChoices,True,1.3385746367329135e-05,2.677149273465827e-05,0.14321532511825102,0.38086596868858946,False,1.3385746367329135e-05,0.16307249951606115,False
Line_Chart&find_correlations_trends&reVLAT_VizChoices,True,4.5927437979546554e-14,9.185487595909311e-14,0.3407192123131492,0.5568088264456973,False,4.5927437979546554e-14,0.35912152383606283,False
Line_Chart&find_correlations_trends&reVLAT_NoVizChoices,False,1.0,0.0,-0.09301860888406394,-0.016389729570417733,False,1.0,-0.08593567677965228,True
Line_Chart&make_comparisons&reVLAT_VizChoices,True,0.22706368441320787,0.45412736882641574,-0.07211296577224967,0.16238698104611912,True,0.22706368441320787,-0.053401977496112536,True
Line_Chart&make_comparisons&reVLAT_NoVizChoices,True,0.2677643004303837,0.5355286008607674,-0.07158865515787262,0.137902417853993,True,0.2677643004303837,-0.05469999055868952,True
Bar_Chart&reVLAT_VizChoices&retrieve_value,True,0.9941872802074341,0.011625439585131847,-0.28206623967334543,-0.03604723609430377,False,0.9941872802074341,-0.26289680409353944,True
Bar_Chart&reVLAT_NoVizChoices&retrieve_value,True,0.9999997184608737,5.630782526910849e-07,-0.43408331022015134,-0.19651472644049914,False,0.9999997184608737,-0.4160472667859713,True
Bar_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.028316842536734003,-1.4246090207180977e-07,False,1.0,-0.02474313365313818,True
Bar_Chart&find_extremum&reVLAT_NoVizChoices,False,0.99,0.020000000000000018,-0.05820201639696723,-9.706506664247606e-07,False,0.99,-0.051067179713327415,True
Bar_Chart&determine_range&reVLAT_VizChoices,True,0.9999999994613883,1.0772234215750132e-09,-0.5069042057646984,-0.2720291939165996,False,0.9999999994613883,-0.4894003472823181,True
Bar_Chart&determine_range&reVLAT_NoVizChoices,True,0.9999999974981983,5.0036033094613686e-09,-0.497014127722423,-0.2576009905037041,False,0.9999999974981983,-0.47907150587034786,True
Bar_Chart&make_comparisons&reVLAT_VizChoices,True,0.05132819910048783,0.10265639820097566,-0.01586196766070383,0.16961825592863508,True,0.05132819910048783,-0.0006135491167852934,True
Bar_Chart&make_comparisons&reVLAT_NoVizChoices,True,0.10276154835918548,0.20552309671837096,-0.04019373021683208,0.1857330549983033,True,0.10276154835918548,-0.021935083597574446,True
Stacked_Bar_Chart&reVLAT_VizChoices&retrieve_value,True,0.9987533390367374,0.0024933219265252937,-0.17552898330969569,-0.03818203837159591,False,0.9987533390367374,-0.16451693361460118,True
Stacked_Bar_Chart&reVLAT_NoVizChoices&retrieve_value,True,0.4925752408425048,0.9851504816850096,-0.08143010583147027,0.0828952515345828,True,0.4925752408425048,-0.0682145156920374,True
Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices,False,0.001,0.002,0.0366345617493969,0.2009910069352739,False,0.001,0.04791816884268231,False
Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices,False,0.0,0.0,0.3508265723735927,0.531841913071821,False,0.0,0.368968091842849,False
Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices,True,9.71827694494158e-08,1.943655388988316e-07,0.1382262998673097,0.29975354659199066,False,9.71827694494158e-08,0.1511239640865748,False
Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices,True,2.210910317935835e-31,4.42182063587167e-31,0.4332212014876974,0.5858728174923127,False,2.210910317935835e-31,0.44622367626737547,False
OneHundred_Stacked_Bar_Chart&reVLAT_VizChoices&retrieve_value,False,1.0,0.0,-0.8623845503149358,-0.7170433277303133,False,1.0,-0.8547201109652178,True
OneHundred_Stacked_Bar_Chart&reVLAT_NoVizChoices&retrieve_value,False,1.0,0.0,-0.21216217509170535,-0.09176515045768935,False,1.0,-0.20469006909146048,True
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.2788738959959337,-0.13918189412131798,False,1.0,-0.26861915192933217,True
OneHundred_Stacked_Bar_Chart&find_extremum&reVLAT_NoVizChoices,False,1.0,0.0,-0.0560324030204649,-1.934266065348291e-06,False,1.0,-0.051241005703495573,True
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_VizChoices,False,1.0,0.0,-0.8895282383001545,-0.7498459167182561,False,1.0,-0.8782575933171504,True
OneHundred_Stacked_Bar_Chart&make_comparisons&reVLAT_NoVizChoices,True,1.0000000000000375,-7.505107646466058e-14,-0.8441891006427203,-0.676615000368821,False,1.0000000000000375,-0.8333240707092104,True
Pie_Chart&reVLAT_VizChoices&retrieve_value,False,1.0,0.0,-0.4453987662296012,-0.27433074735586666,False,1.0,-0.43433086914477287,True
Pie_Chart&reVLAT_NoVizChoices&retrieve_value,False,1.0,0.0,-0.1071486953513863,-0.017513644743979657,False,1.0,-0.09707669565865346,True
Pie_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.39075802225400524,-0.2276571017877753,False,1.0,-0.37498890537151447,True
Pie_Chart&find_extremum&reVLAT_NoVizChoices,False,0.018,0.036,0.005942880735603673,0.12764173603685613,False,0.018,0.016032422711870775,False
Pie_Chart&make_comparisons&reVLAT_VizChoices,False,1.0,0.0,-0.5270862415680262,-0.34846297474808247,False,1.0,-0.5118018483001481,True
Pie_Chart&make_comparisons&reVLAT_NoVizChoices,False,0.999,0.0020000000000000018,-0.042407139109875716,-5.659307241705848e-07,False,0.999,-0.036650744680553245,True
Histogram&reVLAT_VizChoices&retrieve_value,True,0.0003327147624585855,0.000665429524917171,0.08430883485167594,0.3088117943763148,False,0.0003327147624585855,0.1025912598718955,False
Histogram&reVLAT_NoVizChoices&retrieve_value,True,0.27339686747597713,0.5467937349519543,-0.07873213105684108,0.14866523577368723,True,0.27339686747597713,-0.0604593727763745,True
Histogram&find_extremum&reVLAT_VizChoices,True,0.9665168942834715,0.06696621143305692,-0.14467265938047263,0.004917158959862944,True,0.9665168942834715,-0.13165988878642534,True
Histogram&find_extremum&reVLAT_NoVizChoices,False,1.0,0.0,-0.2279749474491551,-0.0958520565601136,False,1.0,-0.218615330857288,True
Histogram&make_comparisons&reVLAT_VizChoices,False,0.0,0.0,0.8306063726665112,0.9464260370208811,False,0.0,0.8420756079341815,False
Histogram&make_comparisons&reVLAT_NoVizChoices,False,0.0,0.0,0.23839293201573947,0.41324742212793847,False,0.0,0.2532490530338818,False
Scatterplot&reVLAT_VizChoices&retrieve_value,True,0.9999992360176985,1.5279646030652572e-06,-0.4022166876020153,-0.17509702867386298,False,0.9999992360176985,-0.3847751603381336,True
Scatterplot&reVLAT_NoVizChoices&retrieve_value,True,0.7894022482034486,0.42119550359310276,-0.17329940767201574,0.07306164808250663,True,0.7894022482034486,-0.15378207392272514,True
Scatterplot&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.21737757427466187,-0.08750077273708479,False,1.0,-0.20327208204640224,True
Scatterplot&find_extremum&reVLAT_NoVizChoices,False,0.0,0.0,0.10781727916899686,0.25914894152387913,False,0.0,0.11910849783975441,False
Scatterplot&determine_range&reVLAT_VizChoices,True,0.023191916824408937,0.046383833648817874,0.0016657763548013846,0.20325570749791264,False,0.023191916824408937,0.018052587499986093,False
Scatterplot&determine_range&reVLAT_NoVizChoices,True,4.3075354822883594e-10,8.615070964576719e-10,0.25946078960622354,0.4881051618193273,False,4.3075354822883594e-10,0.27859776112708884,False
Scatterplot&find_anomalies&reVLAT_VizChoices,False,0.0,0.0,9.757520899381256e-08,1.0911828566558539e-05,False,0.0,1.8353012628032744e-07,False
Scatterplot&find_anomalies&reVLAT_NoVizChoices,False,0.023,0.046,1.155890251777792e-08,0.05682564852306843,False,0.023,2.3062588523846386e-06,False
Scatterplot&find_clusters&reVLAT_VizChoices,True,1.0000000000000215,-4.3076653355456074e-14,-0.5423124892895146,-0.3415326943832241,False,1.0000000000000215,-0.5268772601273266,True
Scatterplot&find_clusters&reVLAT_NoVizChoices,True,1.037556612024487e-15,2.075113224048974e-15,0.3756904333978209,0.5857788537666491,False,1.037556612024487e-15,0.3937689368723929,False
Scatterplot&find_correlations_trends&reVLAT_VizChoices,False,0.0,0.0,0.9999429366021099,0.9999995277707162,False,0.0,0.9999602413374209,False
Scatterplot&find_correlations_trends&reVLAT_NoVizChoices,False,0.0,0.0,0.9072842791747241,0.9854465815352274,False,0.0,0.9139819333017591,False
Scatterplot&make_comparisons&reVLAT_VizChoices,False,0.0,0.0,4.1404012118828604e-07,1.576964197336217e-05,False,0.0,6.095580221687769e-07,False
Scatterplot&make_comparisons&reVLAT_NoVizChoices,False,0.0,0.0,0.19347035534820956,0.34900606293654857,False,0.0,0.2000335965178236,False
Bubble_Chart&reVLAT_VizChoices&retrieve_value,False,1.0,0.0,-0.2047118079023357,-0.0704339825184772,False,1.0,-0.1924172655400444,True
Bubble_Chart&reVLAT_NoVizChoices&retrieve_value,False,0.999,0.0020000000000000018,-0.10568715338702982,-0.019223735058688678,False,0.999,-0.094801773431891,True
Bubble_Chart&find_extremum&reVLAT_VizChoices,False,1.0,0.0,-0.1666736531454264,-0.058332308492167036,False,1.0,-0.1550622957760859,True
